CODECODE,国民经济行业类型,等级
C01493,冷冻饮品及食用冰制造,4
C01494,盐加工,4
C01495,食品及饲料添加剂制造,4
C01499,其他未列明食品制造,4
C015,酒、饮料和精制茶制造业,2
C0151,酒的制造,3
C01511,酒精制造,4
C01512,白酒制造,4
C01513,啤酒制造,4
C01514,黄酒制造,4
C01515,葡萄酒制造,4
C01519,其他酒制造,4
C0152,饮料制造,3
C01521,碳酸饮料制造,4
C01522,瓶(罐）装饮用水制造,4
C01523,果菜汁及果菜汁饮料制造,4
C01524,含乳饮料和植物蛋白饮料制造,4
C01525,固体饮料制造,4
C01529,茶饮料及其他饮料制造,4
C0153,精制茶加工,3
C016,烟草制品业,2
C0161,烟叶复烤,3
C0162,卷烟制造,3
C0169,其他烟草制品制造,3
C017,纺织业,2
C0171,棉纺织及印染精加工,3
C01711,棉纺纱加工,4
C01712,棉织造加工,4
C01713,棉印染精加工,4
C0172,毛纺织及染整精加工,3
C01721,毛条和毛纱线加工,4
C01722,毛织造加工,4
C01723,毛染整精加工,4
C0173,麻纺织及染整精加工,3
C01731,麻纤维纺前加工和纺纱,4
C01732,麻织造加工,4
C01733,麻染整精加工,4
C0174,丝絹纺织及印染精加工,3
C01741,缫丝加工,4
C01742,绢纺和丝织加工,4
C01743,丝印染精加工,4
C0175,化纤织造及印染精加工,3
C01751,化纤织造加工,4
C01752,化纤织物染整精加工,4
C0176,针织或钩针编织物及其制品制造,3
C01761,针织或钩针编织物织造,4
C01762,针织或钩针编织物印染精加工,4
C01763,针织或钩针编织品制造,4
C0177,家用纺织制成品制造,3
C01771,床上用品制造,4
C01772,毛巾类制品制造,4
C01773,窗帘、布艺类产品制造,4
C01779,其他家用纺织制成品制造,4
C0178,产业用纺织制成品制造,3
C01781,非织造布制造,4
C01782,绳、索、缆制造,4
C01783,纺织带和帘子布制造,4
C01784,篷、帆布制造,4
C01789,其他产业用纺织制成品制造,4
C018,纺织服装、服饰业,2
C0181,机织服装制造,3
C01811,运动机织服装制造,4
C01819,其他机织服装制造,4
C0182,针织或钩针编织服装制造,3
C01821,运动休闲针织服装制造,4
C01829,其他针织或钩针编织服装制造,4
C0183,服饰制造,3
C019,皮革、毛皮、羽毛及其制品和制鞋业,2
C0191,皮革鞣制加工,3
C0192,皮革制品制造,3
C01921,皮革服装制造,4
C01922,皮箱、包(袋）制造,4
C01923,皮手套及皮装饰制品制造,4
C01929,其他皮革制品制造,4
C0193,毛皮鞣制及制品加工,3
C01931,毛皮鞣制加工,4
C01932,毛皮服装加工,4
C01939,其他毛皮制品加工,4
C0194,羽毛（绒）加工及制品制造,3
C01941,羽毛（绒）加工,4
C01942,羽毛（绒）制品加工,4
C0195,制鞋业,3
C01951,纺织面料鞋制造,4
C01952,皮鞋制造,4
C01953,塑料鞋制造,4
C01954,橡胶鞋制造,4
C01959,其他制鞋业,4
C020,木材加工和木、竹、藤、棕、草制品业,2
C0201,木材加工,3
C02011,锯材加工,4
C02012,木片加工,4
C02013,单板加工,4
C02019,其他木材加工,4
C0202,人造板制造,3
C02021,胶合板制造,4
C02022,纤维板制造,4
C02023,刨花板制造,4
C02029,其他人造板制造,4
C0203,木质制品制造,3
C02031,建筑用木料及木材组件加工,4
C02032,木门窗制造,4
C02033,木楼梯制造,4
C02034,木地板制造,4
C02035,木制容器制造,4
C02039,软木制品及其他木制品制造,4
C0204,竹、藤、掠、草等制品制造,3
C02041,竹制品制造,4
C02042,藤制品制造,4
C02043,掠制品制造,4
C02049,草及其他制品制造,4
C021,家具制造业,2
C0211,木质家具制造,3
C0212,竹、藤家具制造,3
C0213,金属家具制造,3
C0214,塑料家具制造,3
C0219,其他家具制造,3
C022,造纸和纸制品业,2
C0221,纸浆制造,3
C02211,木竹浆制造,4
C02212,非木竹浆制造,4
C0222,造纸,3
C02221,机制纸及纸板制造,4
C02222,手工纸制造,4
C02223,加工纸制造,4
C0223,纸制品制造,3
C02231,纸和纸板容器制造,4
C02239,其他纸制品制造,4
C023,印刷和记录媒介复制业,2
C0231,印刷,3
C02311,书、报刊印刷,4
C02312,本册印制,4
C02319,包装装潢及其他印刷,4
C0232,装订及印刷相关服务,3
C0233,记录媒介复制,3
C024,文教、工美、体育和娱乐用品制造业,2
C0241,文教办公用品制造,3
C02411,文具制造,4
C02412,笔的制造,4
C02413,教学用模型及教具制造,4
C02414,墨水、墨汁制造,4
C02419,其他文教办公用品制造,4
C0242,乐器制造,3
C02421,中乐器制造,4
C02422,西乐器制造,4
C02423,电子乐器制造,4
C02429,其他乐器及零件制造,4
C0243,工艺美术及礼仪用品制造,3
C02431,雕塑工艺品制造,4
C02432,金属工艺品制造,4
C02433,漆器工艺品制造,4
C02434,花両工艺品制造,4
